"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3058","User login with correct email and password","tests.authentication","Tue Jul 08 12:47:53 GMT 2025","passed","Tue Jul 08 12:47:56 GMT 2025","TestAuthorization","test_authorization","",""
"","1267","Navigation from login page to registration page","tests.authentication","Tue Jul 08 12:47:57 GMT 2025","passed","Tue Jul 08 12:47:58 GMT 2025","TestAuthorization","test_authorization","",""
"","1708","User login with wrong email or password","tests.authentication","Tue Jul 08 12:47:51 GMT 2025","passed","Tue Jul 08 12:47:53 GMT 2025","TestAuthorization","test_authorization","",""
"","2273","User login with wrong email or password","tests.authentication","Tue Jul 08 12:47:51 GMT 2025","passed","Tue Jul 08 12:47:54 GMT 2025","TestAuthorization","test_authorization","",""
"","1615","Registration with correct email, username and password","LMS system","Tue Jul 08 12:47:56 GMT 2025","passed","Tue Jul 08 12:47:57 GMT 2025","Registration","Authentication","",""
"","1468","User login with wrong email or password","tests.authentication","Tue Jul 08 12:47:54 GMT 2025","passed","Tue Jul 08 12:47:55 GMT 2025","TestAuthorization","test_authorization","",""
